decision_step,episode_id,action,reward,done,obs_json,next_obs_json
56,1,0,-8.526865167617794,False,"[0.10000000149011612, 0.07279782742261887, 0.05493782088160515, 0.19952833652496338, 0.0, 0.31655827164649963, 0.0, 0.46000000834465027, 1.0]","[0.0, 0.039096008986234665, 0.06845991313457489, 0.07248493283987045, 0.0, 0.28259730339050293, 0.0, 0.4933333396911621, 0.0]"
57,1,0,-9.488770103454588,False,"[0.0, 0.039096008986234665, 0.06845991313457489, 0.07248493283987045, 0.0, 0.28259730339050293, 0.0, 0.4933333396911621, 0.0]","[0.0, 0.0025522455107420683, 0.07463831454515457, 0.1110064834356308, 0.0, 0.18086226284503937, 0.0, 0.5266666412353516, 0.0]"
58,1,0,-9.506346595287322,False,"[0.0, 0.0025522455107420683, 0.07463831454515457, 0.1110064834356308, 0.0, 0.18086226284503937, 0.0, 0.5266666412353516, 0.0]","[0.0, 5.188589057070203e-05, 0.09707159548997879, 0.15400730073451996, 0.0, 0.27575185894966125, 0.0, 0.023333333432674408, 0.0]"
59,1,0,-14.929679028193155,False,"[0.0, 5.188589057070203e-05, 0.09707159548997879, 0.15400730073451996, 0.0, 0.27575185894966125, 0.0, 0.023333333432674408, 0.0]","[0.05000000074505806, 0.040200039744377136, 0.09655400365591049, 0.19462904334068298, 0.0, 0.1764811873435974, 0.0, 0.05666666850447655, 0.0]"
60,1,0,-11.080036096913476,False,"[0.05000000074505806, 0.040200039744377136, 0.09655400365591049, 0.19462904334068298, 0.0, 0.1764811873435974, 0.0, 0.05666666850447655, 0.0]","[0.05000000074505806, 0.0735747292637825, 0.057447534054517746, 0.1342364400625229, 0.0, 0.47294795513153076, 0.0, 0.09000000357627869, 0.0]"
61,1,0,-11.822980231046676,False,"[0.05000000074505806, 0.0735747292637825, 0.057447534054517746, 0.1342364400625229, 0.0, 0.47294795513153076, 0.0, 0.09000000357627869, 0.0]","[0.0, 0.0014311870327219367, 0.12976817786693573, 0.174558624625206, 0.0, 0.3026866912841797, 0.0, 0.12333333492279053, 0.0]"
62,1,1,-18.135033130645752,False,"[0.0, 0.0014311870327219367, 0.12976817786693573, 0.174558624625206, 0.0, 0.3026866912841797, 0.0, 0.12333333492279053, 0.0]","[0.0, 1.141976554208668e-06, 0.16945309937000275, 0.2142435610294342, 0.0, 0.19371947646141052, 0.0, 0.15666666626930237, 1.0]"
63,1,1,-22.98839678764343,False,"[0.0, 1.141976554208668e-06, 0.16945309937000275, 0.2142435610294342, 0.0, 0.19371947646141052, 0.0, 0.15666666626930237, 1.0]","[0.0, 9.112089971452519e-10, 0.21201680600643158, 0.25680726766586304, 0.0, 0.12398047000169754, 0.0, 0.023333333432674408, 1.0]"
64,1,1,-27.986515593528747,False,"[0.0, 9.112089971452519e-10, 0.21201680600643158, 0.25680726766586304, 0.0, 0.12398047000169754, 0.0, 0.023333333432674408, 1.0]","[0.0, 7.270743252255074e-13, 0.2524738013744354, 0.2972642481327057, 0.0, 0.07934749871492386, 0.0, 0.004999999888241291, 1.0]"
65,1,1,-35.17730007171631,False,"[0.0, 7.270743252255074e-13, 0.2524738013744354, 0.2972642481327057, 0.0, 0.07934749871492386, 0.0, 0.004999999888241291, 1.0]","[0.0, 5.801490650795865e-16, 0.3369162976741791, 0.3369162976741791, 0.0, 0.050782401114702225, 0.0, 0.038333334028720856, 1.0]"
